Ợ [U+1EE2]
ợ [U+1EE3]
Ụ [U+1EE4]
ụ [U+1EE5]
Ủ [U+1EE6]
ủ [U+1EE7]
Ứ [U+1EE8]
ứ [U+1EE9]
Ừ [U+1EEA]
ừ [U+1EEB]
Ử [U+1EEC]
ử [U+1EED]
Ữ [U+1EEE]
ữ [U+1EEF]
Ự [U+1EF0]
ự [U+1EF1]
Ỳ [U+1EF2]
ỳ [U+1EF3]
Ỵ [U+1EF4]
ỵ [U+1EF5]
Ỷ [U+1EF6]
ỷ [U+1EF7]
Ỹ [U+1EF8]
ỹ [U+1EF9]
  [U+2002]
  [U+2003]
‐ [U+2010]
‑ [U+2011]
‒ [U+2012]
– [U+2013]
— [U+2014]
― [U+2015]
‖ [U+2016]
‘ [U+2018]
’ [U+2019]
‚ [U+201A]
“ [U+201C]
” [U+201D]
„ [U+201E]
† [U+2020]
‡ [U+2021]
• [U+2022]
‥ [U+2025]
… [U+2026]
‧ [U+2027]
‰ [U+2030]
′ [U+2032]
″ [U+2033]
‵ [U+2035]
‹ [U+2039]
› [U+203A]
※ [U+203B]
‼ [U+203C]
⁂ [U+2042]
⁇ [U+2047]
⁈ [U+2048]
⁉ [U+2049]
⁑ [U+2051]
₩ [U+20A9]
₫ [U+20AB]
€ [U+20AC]
™ [U+2122]
← [U+2190]
↑ [U+2191]
→ [U+2192]
↓ [U+2193]
　 [U+3000]
、 [U+3001]
。 [U+3002]
〉 [U+3009]
《 [U+300A]
》 [U+300B]
ぁ [U+3041]
あ [U+3042]
ぃ [U+3043]
い [U+3044]
ぅ [U+3045]
う [U+3046]
ぇ [U+3047]
え [U+3048]
ぉ [U+3049]
お [U+304A]
か [U+304B]
が [U+304C]
き [U+304D]
ぎ [U+304E]
く [U+304F]
ぐ [U+3050]
け [U+3051]
げ [U+3052]
こ [U+3053]
ご [U+3054]
さ [U+3055]
ざ [U+3056]
し [U+3057]
じ [U+3058]
す [U+3059]
ず [U+305A]
せ [U+305B]
ぜ [U+305C]
そ [U+305D]
ぞ [U+305E]
た [U+305F]
だ [U+3060]
ち [U+3061]
ぢ [U+3062]
っ [U+3063]
つ [U+3064]
